"Source","Target","flights_count","flight_year"
"EDFH","SC39","1.0","2020"
"FL16","FA08","1.0","2020"
"KABQ","KLAX","22.0","2020"
"KSDL","KCOS","4.0","2020"
"EGCC","EIDW","15.0","2020"
"KDCA","FL35","9.0","2020"
"CYBG","CYUL","3.0","2020"
"KPDK","K9A1","6.0","2020"
"KALN","44IS","1.0","2020"
"KRDU","KDPL","1.0","2020"
"KMEY","KOMA","1.0","2020"
"EGLL","RJTT","11.0","2020"
"5NY5","KCDW","2.0","2020"
"TJSJ","67KY","1.0","2020"
"LFPG","CYUL","10.0","2020"
"LFBG","LFBG","5.0","2020"
"KLHQ","KVTA","1.0","2020"
"KSTL","49OH","1.0","2020"
"KLOU","KMGW","1.0","2020"
"EGCK","EGCK","15.0","2020"
"KSBP","KSCK","1.0","2020"
"KMCI","KSTL","12.0","2020"
"55AZ","KFFZ","4.0","2020"
"KBED","5CT7","1.0","2020"
"LFPG","LROP","1.0","2020"
"LFML","LFBD","4.0","2020"
"KWBW","KAKH","1.0","2020"
"KBOS","60CO","8.0","2020"
"KPIT","PS23","2.0","2020"
"KORS","KRNT","3.0","2020"
"KSDF","KIAD","15.0","2020"
"FD77","09FA","1.0","2020"
"KFMY","3FD0","1.0","2020"
"31MA","KBED","1.0","2020"
"KABQ","KFXE","2.0","2020"
"KIND","KPHL","3.0","2020"
"YBNA","YSBK","1.0","2020"
"KEGI","KEGI","19.0","2020"
"KJHW","KBUF","1.0","2020"
"KHPN","KFLL","3.0","2020"
"YSBK","YSMB","2.0","2020"
"KAVQ","AZ63","1.0","2020"
"38CL","07CL","1.0","2020"
"01FA","KMIA","1.0","2020"
"KDFW","EBOS","2.0","2020"
"KAXQ","KGKJ","1.0","2020"
"YFSK","YMEN","6.0","2020"
"GA00","KPDK","1.0","2020"
"KRNT","WN42","3.0","2020"
"KRMN","VA71","1.0","2020"
"KHBG","K0R0","1.0","2020"
"KHLM","76MI","1.0","2020"
"KSEA","SC08","9.0","2020"
"EDLE","EDLS","2.0","2020"
"KFES","KFES","2.0","2020"
"EGKB","LOLW","1.0","2020"
"KJZP","4GA9","1.0","2020"
