"airport_id","airport_name","airport_type","airport_lat","airport_lng","country_iso_2_code","country_iso_3_code","country_name","continent_name","country_lat","country_lng","avg_cases_per_week_14","population","avg_cases_population_ratio_per_week_14","covid19_percentage_label"
"6IL2","Phyllis Field","small_airport","42.221099853515625","-88.41790008544922","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"6PA8","Tall Pines Airfield","small_airport","41.20140075683594","-77.44080352783203","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"7TS2","Alison Air Park","small_airport","29.831300735473633","-97.88919830322266","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"87OI","Lake Air Ranch Airport","small_airport","41.272300720214844","-82.62300109863281","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"90FL","Paxton Airport","small_airport","27.3612003326416","-80.76090240478516","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"93PA","Maple Cave Park Airport","small_airport","41.50339889526367","-79.88140106201172","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"98AK","Eastland Airport","small_airport","59.77621","-151.187882","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"9IN4","Bandmill Field","small_airport","38.53419876098633","-87.59190368652344","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"9NC3","Edwards Airport","small_airport","35.07080078125","-80.56639862060547","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"9VA4","Franwood Farms Inc. Airport","small_airport","38.69089889526367","-78.62950134277344","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"CA42","McConville Airstrip","small_airport","33.644146","-117.429457","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"CA97","Christy Airstrip","small_airport","34.01969909667969","-119.85299682617188","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"CYLW","Kelowna International Airport","large_airport","49.9561","-119.377998","CA","CAN","Canada","North America","56.130366","-106.346771","527287.1428571428","37742157.0","1.3970773924159736","1.40%"
"CYYG","Charlottetown Airport","medium_airport","46.290000915527344","-63.12110137939453","CA","CAN","Canada","North America","56.130366","-106.346771","527287.1428571428","37742157.0","1.3970773924159736","1.40%"
"EDFJ","Lager Hammelburg Airport","small_airport","50.098609924316406","9.883610725402832","DE","DEU","Germany","Europe","51.165691","10.451526","1522881.857142857","83783945.0","1.8176296868604804","1.82%"
"EDLO","Flugplatz Oerlinghausen","small_airport","51.93222","8.661667","DE","DEU","Germany","Europe","51.165691","10.451526","1522881.857142857","83783945.0","1.8176296868604804","1.82%"
"EDQG","Giebelstadt Airport","small_airport","49.6480560303","9.966388702390002","DE","DEU","Germany","Europe","51.165691","10.451526","1522881.857142857","83783945.0","1.8176296868604804","1.82%"
"EGPF","Glasgow International Airport","large_airport","55.871899","-4.43306","GB","GBR","United Kingdom","Europe","55.378051","-3.435973","2214899.9285714286","67886004.0","3.2626753646766846","3.26%"
"HI27","Upper Paauilo Airstrip","small_airport","20.02829933166504","-155.38800048828125","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"IA70","Friesenborg & Larson Airport","small_airport","43.42580032348633","-93.83580017089844","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"II70","Salsbery Airport","small_airport","40.384498596191406","-86.06330108642578","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"K33K","Kinsley Municipal Airport","small_airport","37.909000396728516","-99.4030990600586","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"K3HO","Hobart Sky Ranch Airport","small_airport","41.55419921875","-87.26249694824219","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
