"flight_date","dayofweek","airplane_code","airport_source_code","airport_target_code","flights_count"
"2019-04-06","7","B738","LIME","EDDB","2"
"2019-04-06","7","B772","RJTT","KMSP","1"
"2019-04-06","7","A320","LFBD","LEBL","2"
"2019-04-06","7","A320","ELLX","EGLL","1"
"2019-04-06","7","A320","LOWG","EDDT","1"
"2019-04-06","7","AT76","EHGG","EGMC","1"
"2019-04-06","7","A319","EDDL","EGLM","1"
"2019-04-06","7","B738","EDLV","LEAL","1"
"2019-04-06","7","B788","EPWA","KLAX","1"
"2019-04-06","7","B772","EGLL","KSFO","2"
"2019-04-06","7","","EHAM","LKKL","1"
"2019-04-06","7","E195","LBWN","LOWW","1"
"2019-04-06","7","B738","LIMF","LEBL","1"
"2019-04-06","7","A320","LEMG","EGKK","4"
"2019-04-06","7","B77W","LIRF","CYYZ","1"
"2019-04-06","7","B738","LIPZ","ENGM","1"
"2019-04-06","7","A319","EGKK","LFRS","1"
"2019-04-06","7","B738","LIEO","EHAM","1"
"2019-04-06","7","B738","LIBD","EDFH","1"
"2019-04-06","7","A321","EDDF","LFLL","1"
"2019-04-06","7","B738","LIRA","LFBD","1"
"2019-04-06","7","A319","LEBL","LIQL","1"
"2019-04-06","7","A20N","LPFR","EGAA","1"
"2019-04-06","7","A319","LPPT","LKKL","1"
"2019-04-06","7","B77W","OTBD","EDDF","1"
"2019-04-06","7","B739","OMDB","UKBB","1"
"2019-04-07","1","A320","OTHH","OLBA","3"
"2019-04-07","1","B788","KPMP","ESSA","1"
"2019-04-07","1","A332","KPHL","LFPG","1"
"2019-04-07","1","A332","KPHL","EGCC","1"
"2019-04-07","1","B738","EFHK","LGSA","1"
"2019-04-07","1","","KSFO","EGLL","1"
"2019-04-07","1","MD11","KLAX","EDDF","1"
"2019-04-07","1","A320","LEAL","LFPO","1"
"2019-04-07","1","B752","EGCC","LFLS","2"
"2019-04-07","1","","EIWT","EHAM","1"
"2019-04-07","1","B738","LEZL","EDTB","1"
"2019-04-07","1","A321","LPPT","LFPO","3"
"2019-04-07","1","A320","UUEE","LHBP","3"
"2019-04-07","1","A388","OMDB","LIMC","2"
"2019-04-07","1","B738","ESGG","LEAL","2"
"2019-04-07","1","B738","UKBB","LOWW","2"
"2019-04-07","1","B738","EIDW","EGPF","3"
"2019-04-07","1","A321","LIRF","EDDM","3"
"2019-04-07","1","A320","EGBB","LFPG","2"
