"airport_id","airport_name","airport_type","airport_lat","airport_lng","country_iso_2_code","country_iso_3_code","country_name","continent_name","country_lat","country_lng","cases_per_week_14","population","covid19_percentage","covid19_percentage_label","report_year"
"LYSM","Sremska Mitrovica / Veliki Radinci Airfield","small_airport","45.037453","19.660661","RS","SRB","Serbia","Europe","44.016521","21.005859","642208.0","6804596.0","9.437856413518157","9.44%","2021"
"SN88","Crosswind Airfield","small_airport","38.5713996887207","-94.71269989013672","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"2GE8","Andy Fields Airport","small_airport","33.46419906616211","-84.66329956054688","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"K3G4","Ashland County Airport","small_airport","40.90299987792969","-82.25559997558594","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"KSZL","Whiteman Air Force Base","large_airport","38.73030090332","-93.547897338867","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"EDLE","Essen Mulheim Airport","small_airport","51.40230178833008","6.9373297691345215","DE","DEU","Germany","Europe","51.165691","10.451526","3012158.0","83783945.0","3.595149404817355","3.60%","2021"
"NY82","Alexander Farm Airport","small_airport","42.58060073852539","-73.61620330810547","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"12MI","John's Airport","small_airport","43.051700592041016","-83.49189758300781","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"83TE","K Bar Ranch Airport","small_airport","29.49690055847168","-99.493896484375","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"KFWN","Sussex Airport","small_airport","41.200199127197266","-74.62300109863281","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"TX64","Lazy 9 Ranch Airport","small_airport","33.29930114746094","-97.52729797363281","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"8II0","Allen and Gloss Airport","small_airport","38.856998443603516","-85.10130310058594","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"KSAN","San Diego International Airport","large_airport","32.7336006165","-117.190002441","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"SDLP","Lençóis Paulista Airport","small_airport","-22.578399658203125","-48.774600982666016","BR","BRA","Brazil","South America","-14.235004","-51.92528","13482023.0","212559409.0","6.342708169648703","6.34%","2021"
"KLXT","Lee's Summit Municipal Airport","small_airport","38.95970154","-94.37139893","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"KRZL","Jasper County Airport","small_airport","40.9478988647","-87.1826019287","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"11NY","Saikkonen Airport","small_airport","42.20899963378906","-76.44969940185547","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"68NY","Merrimac Farms Airport","small_airport","42.750099182128906","-77.78389739990234","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"TXKF","L.F. Wade International International Airport","medium_airport","32.36399841308594","-64.67870330810547","BM","BMU","Bermuda","North America","32.321384","-64.75737","0","62273.0","0.0","0.00%","2021"
"NY58","Snow Field","closed","42.956699","-74.081497","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"LFOL","Aérodrome de L'Aigle-Saint-Michel","small_airport","48.759701","0.659167","FR","FRA","France","Europe","46.227638","2.213749","5119585.0","67564251.0","7.57735773611995","7.58%","2021"
"6MA2","Meadowbrook Airport","small_airport","42.86009979248047","-70.99659729003906","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"TX33","Haire Airport","small_airport","33.341800689697266","-97.30860137939453","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
