"flight_date","flight_dayofweek","airplane_code","airport_source_code","airport_target_code","flights_count"
"2020-03-30","2","P46T","KHND","KPRB","1"
"2020-03-30","2","CRJ2","KMSP","IA28","1"
"2020-03-30","2","B712","KATL","KDAL","1"
"2020-03-30","2","A320","KFLL","02PR","1"
"2020-03-30","2","B763","KSDF","KMHT","1"
"2020-03-30","2","B738","KBWI","KHOU","1"
"2020-03-30","2","B772","KORD","EGLL","1"
"2020-03-30","2","B737","KOAK","KDAL","1"
"2020-03-30","2","A321","KMSP","KSAN","1"
"2020-03-30","2","B737","KAUS","KMDW","1"
"2020-03-31","3","B737","KSFO","KLAX","2"
"2020-03-30","2","","KHHR","KVNY","2"
"2020-03-30","2","","KPIE","KEVB","3"
"2020-03-30","2","","ETOU","ETOU","1"
"2020-03-30","2","","4OH3","KFRH","1"
"2020-03-30","2","","ESSA","ESSV","1"
"2020-03-30","2","","EETN","ESSB","1"
"2020-03-30","2","","KOMA","KLAX","2"
"2020-03-30","2","","KCVG","EDDP","2"
"2020-03-30","2","","KWDR","KAHN","1"
"2020-03-30","2","","KDTO","KDTO","1"
"2020-03-30","2","","KNSI","KNTD","2"
"2020-03-30","2","","74CO","K11V","1"
"2020-03-30","2","","KMGE","53GA","1"
"2020-03-30","2","","KAJO","KDVT","2"
"2020-03-30","2","","K61B","K61B","4"
"2020-03-30","2","","KE16","KRHV","2"
"2020-03-30","2","","KWHP","KL70","2"
"2020-03-30","2","","KT54","78XS","1"
"2020-03-30","2","","KFMY","4FL8","1"
"2020-03-30","2","","KLAX","KOAK","1"
"2020-03-30","2","","LOWW","EDDK","1"
"2020-03-30","2","","KO37","KWLW","1"
"2020-03-30","2","","KORD","EDDF","1"
"2020-03-30","2","","TN81","KMQY","1"
"2020-03-30","2","","KP08","47AZ","1"
"2020-03-30","2","","14PS","K2W6","1"
"2020-03-30","2","","KMYF","KCRQ","1"
"2020-03-31","3","B737","KSJC","KSNA","5"
"2020-03-31","3","B738","KDAL","KLAX","2"
"2020-03-31","3","B752","CYYC","KCVG","1"
"2020-03-31","3","B738","KIAH","KSFO","3"
"2020-03-31","3","C208","89TA","KIAH","1"
"2020-03-31","3","E145","KPHL","PS73","1"
"2020-03-31","3","","KMSP","KATL","2"
"2020-03-31","3","PC21","YPEA","YPEA","25"
"2020-03-31","3","B738","KLAS","KSEA","3"
"2020-03-31","3","B763","KSFO","15AR","1"
"2020-03-31","3","B738","KDFW","KORF","1"
"2020-03-31","3","E145","KDCA","KSCH","1"
"2020-03-31","3","C5M","KSKF","KSKF","1"
"2020-03-31","3","B763","KONT","KSDF","1"
"2020-03-31","3","DH8A","PANC","6AK3","3"
"2020-03-31","3","H60","KNRS","KSAN","1"
"2020-03-31","3","B738","KMDW","FL97","1"
"2020-03-31","3","A306","KMHR","KRIR","1"
"2020-03-31","3","A321","KSFO","KPHL","2"
"2020-03-31","3","A21N","KSFO","KPDX","1"
"2020-03-31","3","A20N","ESGG","ESSA","1"
"2020-03-31","3","","LFML","LFML","1"
"2020-03-31","3","BE9L","KBOI","20ID","1"
"2020-03-31","3","A319","LEAL","EDDL","2"
"2020-03-31","3","B737","ENGM","ENBO","2"
"2020-03-31","3","","WIHP","WICC","1"
"2020-03-31","3","MD90","KROC","KATL","2"
"2020-03-31","3","","KEYE","KORD","1"
"2020-03-31","3","EC45","EDDN","EDFS","1"
"2020-03-31","3","E75S","KSDF","SC08","1"
"2020-03-31","3","B738","KOMA","KSTL","2"
"2020-03-31","3","A320","KMSP","60CO","1"
"2020-03-31","3","","KRFD","KPDX","1"
"2020-03-31","3","B763","KDTW","KI66","1"
"2020-03-31","3","TBM7","KSUS","KRWI","1"
"2020-03-31","3","E145","KTYS","KORD","2"
"2020-03-31","3","CRJ9","KMSP","K2R2","1"
"2020-03-31","3","","KDAB","KX50","5"
"2020-03-31","3","C182","EDKB","ETHM","1"
"2020-03-31","3","DC10","KONT","KUTA","1"
"2020-03-31","3","CL65","KBED","KOPF","1"
"2020-03-31","3","E170","KCVG","CO12","1"
"2020-03-31","3","","KLZU","KWDR","1"
"2020-03-31","3","","CYUL","CSJ4","1"
"2020-03-31","3","C208","KPVD","KMVY","1"
"2020-03-31","3","B738","WBKK","WMKK","1"
"2020-03-31","3","PC12","KDFW","9XS0","1"
"2020-03-31","3","CL30","KDEN","KSBA","1"
