"Source","Target","flights_count"
"BIKF","EGSS","1.0"
"LKPR","BIKF","2.0"
"UMMS","EYVI","2.0"
"OMDB","LSZH","2.0"
"KNGU","LERT","1.0"
"EGLL","KHHR","1.0"
"OMDW","WSSS","1.0"
"EDDT","EGSS","1.0"
"UMMS","LHBP","2.0"
"LEMD","EBMB","1.0"
"HKMO","EDDF","3.0"
"VTBS","EDDF","8.0"
"LHBP","LYBT","3.0"
"EBOS","OTBH","1.0"
"WMKK","EHAM","3.0"
"EDDV","LFPG","4.0"
"EDDT","LIRF","2.0"
"LFLB","LSZH","1.0"
"EBBR","LSZH","2.0"
"LJLJ","LDZA","1.0"
"BIRK","EGKB","1.0"
"LFST","EDDW","2.0"
"EDDL","LEAL","2.0"
"ZGSZ","LFQK","1.0"
"KAPF","CYYZ","3.0"
"WMKK","OTHH","7.0"
"EDDH","EIDW","3.0"
"CYMX","67KY","1.0"
"EKBI","EGCC","1.0"
"EDDP","LFBD","2.0"
"LLBG","EGSS","2.0"
"LKBU","LYBT","1.0"
"EHVK","EDLS","1.0"
"KORD","YMML","1.0"
"ZGSZ","OTHH","1.0"
"LSZH","EDDM","6.0"
"CYYZ","KFXE","2.0"
"LIRF","LSZH","5.0"
"LEMG","CYUL","1.0"
"EIDW","KORD","9.0"
"LKPR","LSZH","3.0"
"CYUL","OTHH","4.0"
"EDDN","EINN","1.0"
"EDDK","LEMD","12.0"
"UAAA","EDDB","1.0"
"CYMX","K7L8","2.0"
"EGCC","LPPT","1.0"
"ELLX","WSSS","3.0"
"OMAM","YAMB","1.0"
"UNNT","EDDP","1.0"
"EKBI","LROP","2.0"
"LSGG","LOWS","1.0"
"YBCS","WMKK","1.0"
"OMDW","EBBR","1.0"
"KCVG","LTBA","1.0"
