"Source","Target","Weight"
"KLUK","KBOS","6.0"
"KVNY","KILG","1.0"
"KRNT","61WA","1.0"
"KPHL","KRIR","3.0"
"09TE","KRBD","1.0"
"KDAL","TE02","1.0"
"KDTW","EDDF","2.0"
"KNUW","BIKF","3.0"
"KIGQ","KFCM","1.0"
"LKTB","EDDS","1.0"
"KFAF","KFME","1.0"
"OG02","OR28","3.0"
"KVNY","KSTS","2.0"
"EDDF","K06C","1.0"
"KFFZ","33CA","1.0"
"6IL4","54MN","1.0"
"EBLG","BIKF","4.0"
"EGNR","EGCV","1.0"
"KTUS","KMSP","10.0"
"KOAK","KWVI","1.0"
"KOJC","0MO0","1.0"
"KMPO","9NC0","1.0"
"GOBD","SBGR","1.0"
"CYKZ","CYOO","3.0"
"KMCO","KCLT","2.0"
"TE57","K5C1","4.0"
"KHWO","KVDF","2.0"
"KFKL","KBTP","1.0"
"EDDT","EGPH","7.0"
"KSEE","KPAN","1.0"
"LKPR","EGGP","3.0"
"LFPG","LLBG","7.0"
"KBDU","KLMO","3.0"
"7PS7","PN16","1.0"
"KIND","4II2","1.0"
"KVNY","KBNA","1.0"
"KIND","79II","2.0"
"KGRR","KMDW","14.0"
"K47A","SC86","1.0"
"LL10","4IS8","1.0"
"EGNM","LZIB","2.0"
"KPUB","K1L0","1.0"
"KPHX","FL57","2.0"
"KMDW","0GE0","3.0"
"LIPH","EGSS","1.0"
"KPWK","6OI5","4.0"
"0WI2","0WI8","1.0"
"KFUL","KSNA","1.0"
"EFTP","EFHK","1.0"
"KSJC","KIWA","7.0"
"CEF4","CYQQ","2.0"
"KTPA","FL47","1.0"
"KBUF","KPMP","2.0"
"LSZM","OTHH","2.0"
"SBGL","LOWW","1.0"
"VOBL","OTHH","5.0"
"KBAK","KLAF","1.0"
"KMRY","KFUL","1.0"
"KERI","KCMA","1.0"
"KHEF","KW45","2.0"
"EPSY","EPWR","1.0"
"CYUL","EDDF","6.0"
"KORL","KDFW","12.0"
"KBWI","CYYZ","15.0"
"LSZH","EGJJ","1.0"
"1KS5","KLXT","1.0"
"LWSK","LDZA","1.0"
"KDEN","25GA","3.0"
"EGTB","EGSS","2.0"
"25GA","KDFW","3.0"
"KPRC","KDEN","6.0"
"EDQB","EDQB","1.0"
"RJDM","RJFZ","1.0"
"9WI4","WN46","1.0"
"8CO2","KBKF","1.0"
"KDEN","ID07","1.0"
"KH34","KASG","2.0"
"LFRM","LFPV","1.0"
"ENJB","EPWR","1.0"
"KGYY","40XS","1.0"
"KSDL","2AZ3","1.0"
"KMDW","KBJC","2.0"
"KOAK","KCCR","2.0"
"KILG","KPMP","1.0"
"EDXP","EDXU","1.0"
"EBAW","EHRD","1.0"
"KERI","KUCP","1.0"
"CL36","KHND","1.0"
"PA84","OA16","1.0"
"LFPV","LFPV","1.0"
"LPFR","EDDW","2.0"
"EGHA","EGHI","1.0"
